ORDER_CRN,EOD_DATE,VENDOR,ORDER_SOURCE,SOURCE,BRAND_NAME,BRAND_CODE,CITY,STORE_CODE,STORE_NAME,ORDER_STATUS,PRODUCT_STATUS,ORDER_LINE_CODE,PRODUCT_DETAIL_CODE,PRODUCT_NAME,PRODUCT_CODE,KITCHEN_DESCRIPTION,ITEM_PRICE,PORTION_UNIT,CONVERSION_VALUE,INVENTORY_ITEM_ID,INVENTORY_ITEM_CODE,INVENTORY_NAME,QTY,INVENTORY_ITEM_PRICE,INVENTORY_ITEM_BASIC_PRICE,IDEALS,IDEAL_WACC,COUNT,PROD_QUANTITY,STATE,Area Manager,Zonal Manager
SYN1000000010,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Bengaluru,ST765,Store_022,DELIVERED,routed,SUB2000000010,PRD642717,Product_015,PRD642717,Burger Classic,169.98,EACH,1.0,9002,INV2982,Inventory_029,22.12,20.15,18.56,15.59,20.76,20,16,SyntheticState,AreaManager_04,ZonalManager_01
SYN1000000011,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Delhi,ST438,Store_028,DELIVERED,routed,SUB2000000011,PRD349565,Product_017,PRD349565,Fries Loaded,140.48,EACH,1.0,9003,INV8953,Inventory_018,20.99,0.19,0.2,23.73,0.19,25,30,SyntheticState,AreaManager_08,ZonalManager_02
SYN1000000012,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Pune,ST462,Store_014,DELIVERED,routed,SUB2000000012,PRD589710,Product_014,PRD589710,Burger Classic,163.27,EACH,1.0,9001,INV2612,Inventory_004,17.49,5.95,5.5,17.77,4.56,12,11,SyntheticState,AreaManager_04,ZonalManager_02
SYN1000000013,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Pune,ST177,Store_028,DELIVERED,routed,SUB2000000013,PRD202664,Product_018,PRD202664,Burger Classic,191.03,EACH,1.0,9002,INV9856,Inventory_004,15.06,25.13,23.2,11.76,22.31,12,13,SyntheticState,AreaManager_03,ZonalManager_04
SYN1000000014,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Pune,ST102,Store_013,DELIVERED,routed,SUB2000000014,PRD922157,Product_009,PRD922157,Wrap Spicy,166.4,EACH,1.0,9004,INV5673,Inventory_030,16.64,7.98,7.47,9.11,6.72,15,12,SyntheticState,AreaManager_08,ZonalManager_02
SYN1000000015,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Bengaluru,ST865,Store_002,DELIVERED,routed,SUB2000000015,PRD152578,Product_002,PRD152578,Fries Loaded,149.08,EACH,1.0,9003,INV8811,Inventory_038,21.66,0.22,0.17,16.61,0.21,21,26,SyntheticState,AreaManager_02,ZonalManager_02
SYN1000000016,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST683,Store_029,DELIVERED,routed,SUB2000000016,PRD723398,Product_019,PRD723398,Burger Veg,156.43,EACH,1.0,9001,INV2343,Inventory_003,6.73,5.75,5.15,7.41,5.64,10,9,SyntheticState,AreaManager_04,ZonalManager_03
SYN1000000017,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Delhi,ST869,Store_011,DELIVERED,routed,SUB2000000017,PRD580547,Product_001,PRD580547,Burger Veg,145.43,EACH,1.0,9005,INV2638,Inventory_040,7.8,17.16,15.94,9.37,18.42,10,9,SyntheticState,AreaManager_02,ZonalManager_02
SYN1000000018,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Hyderabad,ST926,Store_020,DELIVERED,routed,SUB2000000018,PRD800305,Product_001,PRD800305,Burger Classic,194.46,EACH,1.0,9001,INV5905,Inventory_036,11.5,5.09,5.6,7.95,4.76,14,13,SyntheticState,AreaManager_02,ZonalManager_05
SYN1000000019,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Bengaluru,ST749,Store_022,DELIVERED,routed,SUB2000000019,PRD612262,Product_017,PRD612262,Burger Classic,164.4,EACH,1.0,9002,INV1832,Inventory_017,9.71,22.13,19.87,8.69,17.87,11,11,SyntheticState,AreaManager_03,ZonalManager_03
SYN1000000020,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST177,Store_004,DELIVERED,routed,SUB2000000020,PRD137778,Product_018,PRD137778,Fries Loaded,146.91,EACH,1.0,9003,INV3426,Inventory_024,16.26,0.18,0.18,17.37,0.21,22,19,SyntheticState,AreaManager_01,ZonalManager_03
SYN1000000021,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Pune,ST995,Store_029,DELIVERED,routed,SUB2000000021,PRD885884,Product_020,PRD885884,Burger Classic,192.05,EACH,1.0,9001,INV4878,Inventory_010,12.71,6.29,5.51,11.05,5.57,13,17,SyntheticState,AreaManager_01,ZonalManager_02
SYN1000000022,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST852,Store_028,DELIVERED,routed,SUB2000000022,PRD266931,Product_009,PRD266931,Burger Classic,192.32,EACH,1.0,9002,INV7267,Inventory_007,18.23,24.52,19.59,11.69,22.14,18,17,SyntheticState,AreaManager_08,ZonalManager_03
SYN1000000023,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Bengaluru,ST508,Store_007,DELIVERED,routed,SUB2000000023,PRD172792,Product_009,PRD172792,Wrap Spicy,173.78,EACH,1.0,9004,INV6753,Inventory_018,9.14,7.0,7.44,12.95,6.69,9,8,SyntheticState,AreaManager_01,ZonalManager_01
SYN1000000024,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Hyderabad,ST211,Store_002,DELIVERED,routed,SUB2000000024,PRD462479,Product_014,PRD462479,Fries Loaded,152.17,EACH,1.0,9003,INV8149,Inventory_021,28.91,0.21,0.18,16.28,0.19,23,26,SyntheticState,AreaManager_05,ZonalManager_01
SYN1000000025,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST859,Store_024,DELIVERED,routed,SUB2000000025,PRD552248,Product_012,PRD552248,Burger Veg,162.92,EACH,1.0,9001,INV6409,Inventory_005,13.16,5.86,4.66,8.41,5.59,13,11,SyntheticState,AreaManager_05,ZonalManager_04
SYN1000000026,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST488,Store_022,DELIVERED,routed,SUB2000000026,PRD696750,Product_020,PRD696750,Burger Veg,160.52,EACH,1.0,9005,INV7653,Inventory_020,10.21,16.2,16.03,13.42,16.28,11,9,SyntheticState,AreaManager_06,ZonalManager_04
SYN1000000027,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST853,Store_026,DELIVERED,routed,SUB2000000027,PRD188914,Product_022,PRD188914,Burger Classic,184.87,EACH,1.0,9001,INV9445,Inventory_019,18.17,5.8,4.62,15.48,5.66,18,19,SyntheticState,AreaManager_04,ZonalManager_03
SYN1000000028,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Delhi,ST725,Store_016,DELIVERED,routed,SUB2000000028,PRD534572,Product_015,PRD534572,Burger Classic,186.82,EACH,1.0,9002,INV4185,Inventory_037,15.43,21.91,20.5,11.47,18.62,15,15,SyntheticState,AreaManager_01,ZonalManager_01
SYN1000000029,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Hyderabad,ST151,Store_015,DELIVERED,routed,SUB2000000029,PRD989545,Product_008,PRD989545,Fries Loaded,138.07,EACH,1.0,9003,INV8478,Inventory_008,34.86,0.2,0.19,18.29,0.19,31,28,SyntheticState,AreaManager_06,ZonalManager_04
SYN1000000030,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST556,Store_018,DELIVERED,routed,SUB2000000030,PRD597732,Product_024,PRD597732,Burger Classic,188.01,EACH,1.0,9001,INV5246,Inventory_029,15.8,6.1,4.85,16.97,5.43,14,16,SyntheticState,AreaManager_08,ZonalManager_02
SYN1000000031,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Delhi,ST653,Store_011,DELIVERED,routed,SUB2000000031,PRD258157,Product_005,PRD258157,Burger Classic,185.94,EACH,1.0,9002,INV7275,Inventory_015,12.49,23.69,18.78,11.2,19.99,13,12,SyntheticState,AreaManager_08,ZonalManager_04
SYN1000000032,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Hyderabad,ST120,Store_023,DELIVERED,routed,SUB2000000032,PRD600149,Product_013,PRD600149,Wrap Spicy,162.19,EACH,1.0,9004,INV6763,Inventory_001,11.9,6.98,7.3,13.2,7.2,15,18,SyntheticState,AreaManager_04,ZonalManager_04
SYN1000000033,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Pune,ST917,Store_022,DELIVERED,routed,SUB2000000033,PRD273061,Product_024,PRD273061,Fries Loaded,163.33,EACH,1.0,9003,INV3091,Inventory_030,22.19,0.21,0.2,19.23,0.19,21,21,SyntheticState,AreaManager_01,ZonalManager_01
SYN1000000034,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST435,Store_013,DELIVERED,routed,SUB2000000034,PRD442722,Product_015,PRD442722,Burger Veg,151.95,EACH,1.0,9001,INV7211,Inventory_022,10.35,6.26,5.03,7.81,5.51,9,7,SyntheticState,AreaManager_08,ZonalManager_01
SYN1000000035,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Delhi,ST899,Store_003,DELIVERED,routed,SUB2000000035,PRD132537,Product_025,PRD132537,Burger Veg,169.79,EACH,1.0,9005,INV4266,Inventory_016,11.02,19.0,15.83,7.31,16.46,11,8,SyntheticState,AreaManager_02,ZonalManager_05
SYN1000000036,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST721,Store_020,DELIVERED,routed,SUB2000000036,PRD959099,Product_025,PRD959099,Burger Classic,164.97,EACH,1.0,9001,INV6096,Inventory_011,16.36,4.99,4.89,9.79,5.3,11,11,SyntheticState,AreaManager_07,ZonalManager_04
SYN1000000037,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Bengaluru,ST204,Store_008,DELIVERED,routed,SUB2000000037,PRD729577,Product_022,PRD729577,Burger Classic,173.53,EACH,1.0,9002,INV1672,Inventory_008,16.31,22.16,20.35,8.19,20.51,12,13,SyntheticState,AreaManager_06,ZonalManager_01
SYN1000000038,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Pune,ST948,Store_021,DELIVERED,routed,SUB2000000038,PRD260422,Product_023,PRD260422,Fries Loaded,155.97,EACH,1.0,9003,INV3885,Inventory_028,25.89,0.23,0.17,21.48,0.2,17,23,SyntheticState,AreaManager_08,ZonalManager_04
SYN1000000039,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Bengaluru,ST188,Store_027,DELIVERED,routed,SUB2000000039,PRD355709,Product_015,PRD355709,Burger Classic,173.14,EACH,1.0,9001,INV7209,Inventory_030,15.07,5.63,4.91,14.8,5.05,14,17,SyntheticState,AreaManager_06,ZonalManager_03
SYN1000000040,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST629,Store_001,DELIVERED,routed,SUB2000000040,PRD353080,Product_003,PRD353080,Burger Classic,180.98,EACH,1.0,9002,INV9004,Inventory_027,14.07,21.12,20.89,15.97,21.59,16,13,SyntheticState,AreaManager_08,ZonalManager_01
SYN1000000041,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Pune,ST477,Store_019,DELIVERED,routed,SUB2000000041,PRD656711,Product_018,PRD656711,Wrap Spicy,185.79,EACH,1.0,9004,INV7971,Inventory_023,7.65,7.26,6.42,9.16,6.55,11,10,SyntheticState,AreaManager_05,ZonalManager_03
SYN1000000042,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST806,Store_025,DELIVERED,routed,SUB2000000042,PRD326895,Product_007,PRD326895,Fries Loaded,155.69,EACH,1.0,9003,INV5530,Inventory_031,18.95,0.23,0.19,21.52,0.17,20,23,SyntheticState,AreaManager_02,ZonalManager_02
SYN1000000043,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST380,Store_005,DELIVERED,routed,SUB2000000043,PRD680238,Product_002,PRD680238,Burger Veg,163.38,EACH,1.0,9001,INV3068,Inventory_019,9.98,5.99,4.63,11.0,4.44,10,12,SyntheticState,AreaManager_05,ZonalManager_04
SYN1000000044,2026-04-03,own,POS,POS,StoreOps Demo,BND001,Delhi,ST589,Store_028,DELIVERED,routed,SUB2000000044,PRD520172,Product_003,PRD520172,Burger Veg,161.45,EACH,1.0,9005,INV2213,Inventory_032,11.39,19.29,15.48,10.85,17.9,13,9,SyntheticState,AreaManager_05,ZonalManager_01
SYN1000000045,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Mumbai,ST733,Store_026,DELIVERED,routed,SUB2000000045,PRD647957,Product_025,PRD647957,Burger Classic,193.62,EACH,1.0,9001,INV8381,Inventory_025,25.12,5.36,5.24,10.79,4.98,20,18,SyntheticState,AreaManager_01,ZonalManager_05
SYN1000000046,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Delhi,ST776,Store_009,DELIVERED,routed,SUB2000000046,PRD351516,Product_006,PRD351516,Burger Classic,166.7,EACH,1.0,9002,INV2229,Inventory_012,24.7,22.05,21.98,10.63,20.32,20,18,SyntheticState,AreaManager_01,ZonalManager_02
SYN1000000047,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Hyderabad,ST370,Store_008,DELIVERED,routed,SUB2000000047,PRD942956,Product_022,PRD942956,Fries Loaded,137.52,EACH,1.0,9003,INV7965,Inventory_013,25.25,0.19,0.17,19.13,0.17,32,20,SyntheticState,AreaManager_03,ZonalManager_01
SYN1000000048,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Pune,ST395,Store_030,DELIVERED,routed,SUB2000000048,PRD591465,Product_004,PRD591465,Burger Classic,194.85,EACH,1.0,9001,INV7594,Inventory_020,10.38,5.64,5.12,17.63,4.52,15,16,SyntheticState,AreaManager_01,ZonalManager_04
SYN1000000049,2026-04-04,own,POS,POS,StoreOps Demo,BND001,Hyderabad,ST956,Store_022,DELIVERED,routed,SUB2000000049,PRD121753,Product_019,PRD121753,Burger Classic,188.42,EACH,1.0,9002,INV1659,Inventory_018,17.0,20.76,21.11,15.93,20.17,11,12,SyntheticState,AreaManager_05,ZonalManager_02
